loan_account_number;installment_number;actual_payment_date;scheduled_payment_date;installment_amount;principal_component;interest_component;kkdf_component;bsmv_component;installment_status;remaining_principal;remaining_interest;remaining_kkdf;remaining_bsmv
LOAN_003468;12;;2026-04-20;5840;5250;144.72;22.45;8.17;A;4680;150.02;20.75;7.44
LOAN_003468;2;20250616;2025-06-20;5140;3790;1522.49;208.39;57.28;K;0;0;0;0
LOAN_003468;3;;2025-07-21;5420;4130;1311.88;183.58;69.51;A;3980;1178.39;209.71;64.71
LOAN_003468;4;;2025-08-18;4450;3390;1080.26;139.34;58.17;A;3490;942.56;160.71;51.63
LOAN_003468;5;;2025-09-18;5260;3460;888.47;171.35;56.94;A;3370;1150.38;130.98;58.23
LOAN_003468;6;;2025-10-17;4990;4580;928.21;134.40;47.76;A;4540;847.36;129.69;42.47
LOAN_003468;7;;2025-11-18;4840;4600;899.94;107.34;40.91;A;4710;886.74;133.91;35.49
LOAN_003468;8;;2025-12-18;5780;4070;586.18;106.12;30.62;A;4880;584.72;98.50;29.75
LOAN_003468;9;;2026-01-16;4910;5020;491.14;65.48;26.05;A;4930;542.07;66.72;27.31
LOAN_001395;1;20250616;2025-06-14;4170;3230;1137.01;159.06;58.62;K;0;0;0;0
LOAN_001395;10;;2026-03-14;5410;4510;256.54;46.33;13.10;A;5050;287.91;43.06;15.14
LOAN_001395;11;;2026-04-14;4190;5210;219.80;29.09;10.54;A;4170;171.24;25.13;10.08
LOAN_001395;12;;2026-05-14;5410;5040;95.87;13.82;4.78;A;4970;82.28;14.34;5.25
LOAN_001395;2;;2025-07-15;4650;3540;1044.83;156.69;54.21;A;4260;1086.10;128.74;49.00
LOAN_001395;3;;2025-08-12;5100;3830;690.80;115.42;37.94;A;3570;775.95;127.45;42.49
LOAN_001395;4;;2025-09-12;4930;4300;708.18;110.23;41.00;A;3460;687.82;105.11;42.33
LOAN_001395;5;;2025-10-12;5520;3500;718.25;115.96;31.55;A;4300;671.67;104.58;38.30
LOAN_001395;6;;2025-11-12;4500;4220;639.16;88.59;30.55;A;3970;595.31;102.31;28.80
LOAN_001395;7;;2025-12-12;4730;4410;502.62;78.70;25.77;A;4810;499.62;90.87;27.36
LOAN_001395;8;;2026-01-12;5080;4680;414.29;60.92;24.43;A;3970;438.55;60.82;20.95
LOAN_001395;9;;2026-02-12;4180;4650;321.19;55.81;18.77;A;4340;382.01;48.45;18.07
LOAN_001836;1;20250520;2025-05-20;2510;2580;0;0;0;K;0;0;0;0
LOAN_001836;10;;2026-02-18;2610;3140;0;0;0;A;2950;0;0;0
LOAN_001836;11;;2026-03-20;3120;3090;0;0;0;A;2660;0;0;0
LOAN_001836;12;;2026-04-20;3150;2430;0;0;0;A;2800;0;0;0
LOAN_001836;2;20250617;2025-06-20;2960;2720;0;0;0;K;0;0;0;0
LOAN_001836;3;;2025-07-21;2700;3120;0;0;0;A;2770;0;0;0
LOAN_001836;4;;2025-08-18;3130;2600;0;0;0;A;2640;0;0;0
LOAN_001836;5;;2025-09-18;2850;2770;0;0;0;A;2380;0;0;0
LOAN_001836;6;;2025-10-18;2940;3120;0;0;0;A;2880;0;0;0
LOAN_001836;7;;2025-11-18;2390;2530;0;0;0;A;2820;0;0;0
LOAN_001836;8;;2025-12-18;2970;2880;0;0;0;A;2480;0;0;0
LOAN_001836;9;;2026-01-18;2770;3050;0;0;0;A;2520;0;0;0
LOAN_000944;1;;2025-08-02;12810;13290;0;0;0;A;12260;0;0;0
LOAN_003440;1;20250514;2025-05-15;27650;19150;9056.30;1372.43;398.88;K;0;0;0;0
LOAN_003440;10;;2026-02-13;34880;30550;2735.31;318.67;114.19;A;31210;2805.33;419.63;135.51
LOAN_003440;11;;2026-03-13;31190;33310;1718.71;200.96;86.16;A;32470;1579.13;236.97;76.67
LOAN_003440;12;;2026-04-15;29050;29310;901.22;139.34;48.68;A;31580;1048.60;117.49;46.29
LOAN_003440;2;20250613;2025-06-13;27550;23860;7574.40;1224.47;418.43;K;0;0;0;0
LOAN_003440;3;;2025-07-16;31260;21610;9052.22;1217.67;419.51;A;24430;9026.93;1353.40;400.31
LOAN_003440;4;;2025-08-13;32020;26430;5890.13;1002.30;283.49;A;20780;5960.42;841.14;305.90
LOAN_003440;5;;2025-09-12;29910;24250;5872.37;907.07;310.05;A;20910;5836.87;996.58;310.01
LOAN_003440;6;;2025-10-10;31790;28310;4331.55;798.31;261.69;A;28070;4414.03;697.66;209.80
LOAN_003440;7;;2025-11-13;26700;27310;4481.53;802.44;245.79;A;27270;4678.07;718.61;272.28
LOAN_003440;8;;2025-12-12;33920;24170;3397.75;511.56;203.37;A;28980;3459.87;602.62;208.69
LOAN_003440;9;;2026-01-13;31590;24970;2896.45;491.07;146.69;A;26920;3466.59;511.10;151.63
LOAN_001677;1;;2025-07-07;860;640;0;0;0;A;640;0;0;0
LOAN_002595;1;20250523;2025-05-23;15950;11840;4273.20;564.43;230.19;K;0;0;0;0
LOAN_002595;10;;2026-02-20;14020;13860;1106.62;176.50;65.61;A;15450;1244.97;192.67;66.29
LOAN_002595;11;;2026-03-23;16610;14020;930.95;115.86;42.27;A;15290;955.78;123.65;46.53
LOAN_002595;12;;2026-04-23;15560;16910;404.68;71.68;22.97;A;13760;475.18;73.00;23.16
LOAN_002595;2;20250623;2025-06-23;16500;11350;4034.00;557.13;201.49;K;0;0;0;0
LOAN_002595;3;;2025-07-24;15540;10260;3652.51;587.66;195.60;A;9680;4003.93;633.09;192.63
LOAN_002595;4;;2025-08-21;15310;11780;3056.85;392.37;154.63;A;10640;2916.95;406.48;133.00
LOAN_002595;5;;2025-09-19;16610;13190;3240.27;467.94;158.04;A;10900;2701.40;477.05;159.51
LOAN_002595;6;;2025-10-21;17040;13630;2958.58;467.45;130.20;A;13660;2724.16;470.49;149.92
LOAN_002595;7;;2025-11-21;16100;11480;2417.13;394.58;128.34;A;13110;2704.98;358.77;103.69
LOAN_002595;8;;2025-12-19;14740;13440;1978.35;239.74;81.19;A;14080;2021.65;241.23;82.20
LOAN_002595;9;;2026-01-21;15280;14460;1630.55;241.97;89.91;A;12990;1891.33;266.34;75.83
LOAN_000597;1;20250513;2025-06-13;11360;5710;5076.63;0;226.17;K;0;0;0;0
LOAN_000597;10;;2026-03-13;10840;9320;1335.52;0;60.61;A;8570;1318.78;0;80.18
LOAN_000597;11;;2026-04-13;8800;9550;936.03;0;50.14;A;9900;886.16;0;52.38
LOAN_000597;12;;2026-05-13;9620;10660;529.46;0;26.71;A;9180;431.76;0;25.66
LOAN_000597;2;;2025-07-14;8890;5790;4308.49;0;240.77;A;6160;4742.60;0;247.70
LOAN_000597;3;;2025-08-11;11620;5520;3802.98;0;204.59;A;7350;3555.46;0;208.56
LOAN_000597;4;;2025-09-11;10470;6700;3763.39;0;176.67;A;7230;3226.13;0;159.53
LOAN_000597;5;;2025-10-10;11700;7070;3178.32;0;166.83;A;7260;2704.61;0;137.73
LOAN_000597;6;;2025-11-11;11540;7470;3231.10;0;140.44;A;7200;3228.71;0;158.94
LOAN_000597;7;;2025-12-11;11140;6580;2830.21;0;133.01;A;8260;2807.07;0;113.34
LOAN_000597;8;;2026-01-09;10720;8780;2022.33;0;98.34;A;8140;2120.55;0;100.59
LOAN_000597;9;;2026-02-11;11820;8120;1981.96;0;104.74;A;9320;1977.57;0;87.43
LOAN_002054;1;20250519;2025-05-13;5700;5720;0;0;0;K;0;0;0;0
LOAN_002054;10;;2026-02-11;5920;5270;0;0;0;A;6350;0;0;0
LOAN_002054;11;;2026-03-13;6080;6270;0;0;0;A;5090;0;0;0
LOAN_002054;12;;2026-04-13;5140;5410;0;0;0;A;5470;0;0;0
LOAN_002054;2;20250611;2025-06-13;5280;6340;0;0;0;K;0;0;0;0
LOAN_002054;3;;2025-07-14;5550;6670;0;0;0;A;6040;0;0;0
LOAN_002054;4;;2025-08-11;5490;5100;0;0;0;A;5670;0;0;0
LOAN_002054;5;;2025-09-11;6280;5540;0;0;0;A;6370;0;0;0
LOAN_002054;6;;2025-10-11;5030;6420;0;0;0;A;5210;0;0;0
LOAN_002054;7;;2025-11-11;5850;5150;0;0;0;A;5610;0;0;0
LOAN_002054;8;;2025-12-11;6350;5690;0;0;0;A;5870;0;0;0
LOAN_002054;9;;2026-01-11;5520;6200;0;0;0;A;5550;0;0;0
LOAN_003778;1;20250623;2025-06-20;24800;12910;9559.52;0;497.35;K;0;0;0;0
LOAN_003778;10;;2026-03-20;19720;18160;3134.65;0;167.01;A;20320;3302.68;0;148.68
LOAN_003778;11;;2026-04-20;25450;20060;2116.81;0;102.70;A;20250;2374.01;0;116.99
LOAN_003778;12;;2026-05-21;25510;21320;1091.67;0;53.79;A;23130;1209.21;0;48.09
LOAN_003778;2;;2025-07-21;22020;10870;8626.30;0;437.32;A;13790;10200.38;0;487.31
LOAN_003778;3;;2025-08-18;22300;14060;7323.98;0;395.82;A;13390;7850.10;0;420.43
LOAN_003778;4;;2025-09-18;25870;14060;8687.84;0;370.54;A;12880;7437.39;0;354.28
LOAN_003778;5;;2025-10-17;26300;14520;6269.48;0;321.44;A;13300;6437.96;0;328.60
LOAN_003778;6;;2025-11-18;20680;16560;6885.17;0;397.21;A;15610;7620.02;0;385.01
LOAN_003778;7;;2025-12-18;25780;16870;6451.41;0;257.82;A;15420;6590.75;0;247.96
LOAN_003778;8;;2026-01-16;22410;17100;4802.79;0;206.83;A;16990;4410.09;0;267.46
LOAN_003778;9;;2026-02-18;20910;18700;4510.59;0;224.87;A;18600;4578.99;0;192.39
LOAN_002623;1;20250617;2025-06-16;5980;2950;1999.59;256.32;80.84;K;0;0;0;0
LOAN_002623;10;;2026-03-16;5030;4510;612.12;84.66;26.79;A;4140;586.85;84.26;27.63
LOAN_002623;11;;2026-04-16;5410;5650;377.45;51.92;16.11;A;5370;424.18;50.29;19.87
LOAN_002623;12;;2026-05-16;5390;5680;163.31;26.42;10.56;A;5410;175.30;26.32;10.75
LOAN_002623;2;;2025-07-17;6120;2980;1580.03;261.53;77.72;A;3110;1513.58;235.32;93.42
LOAN_002623;3;;2025-08-14;5860;3390;1387.55;223.68;68.18;A;4050;1242.52;231.23;82.82
LOAN_002623;4;;2025-09-12;5080;3380;1585.78;231.66;71.25;A;3870;1478.70;221.95;76.41
LOAN_002623;5;;2025-10-14;4640;4310;1206.69;213.42;58.53;A;3680;1408.66;211.57;76.35
LOAN_002623;6;;2025-11-14;4990;4060;1292.55;176.13;53.56;A;4450;1043.30;197.20;63.09
LOAN_002623;7;;2025-12-12;5850;3930;932.13;132.89;48.23;A;4230;1032.90;134.77;53.68
LOAN_002623;8;;2026-01-14;5920;3770;913.16;145.14;44.41;A;4220;1035.67;145.63;49.04
LOAN_002623;9;;2026-02-13;4940;4750;776.72;115.21;33.67;A;4550;797.52;113.69;33.30
LOAN_002255;1;20250526;2025-05-20;9440;7270;3421.10;0;161.63;K;0;0;0;0
LOAN_002255;2;20250623;2025-06-20;8770;6100;2992.02;0;157.13;K;0;0;0;0
LOAN_002255;3;;2025-07-21;8530;6210;2632.70;0;141.65;A;6750;2716.27;0;129.98
LOAN_002255;4;;2025-08-18;8700;8130;1856.08;0;113.89;A;7330;1856.08;0;102.87
LOAN_002255;5;;2025-09-18;9150;8320;1853.27;0;96.92;A;7050;2015.54;0;87.24
LOAN_002255;6;;2025-10-17;8810;8080;1441.78;0;56.60;A;9000;1433.00;0;69.80
LOAN_002255;7;;2025-11-18;10270;10120;956.64;0;42.82;A;8260;890.38;0;51.41
LOAN_002255;8;;2025-12-18;10310;8260;457.84;0;26.49;A;8600;453.74;0;24.94
LOAN_004128;1;20250609;2025-06-06;19730;9740;10177.45;0;414.91;K;0;0;0;0
LOAN_004128;10;;2026-03-06;19990;12910;2989.23;0;138.04;A;17180;2664.73;0;152.17
LOAN_004128;11;;2026-04-06;18370;15060;1789.69;0;114.03;A;14590;2080.59;0;105.35
LOAN_004128;12;;2026-05-07;16840;18030;936.95;0;45.08;A;16660;1010.93;0;52.01
LOAN_004128;2;;2025-07-07;19390;9440;8290.18;0;390.83;A;8810;9010.38;0;367.60
LOAN_004128;3;;2025-08-04;17860;10490;8275.59;0;316.82;A;11160;7767.25;0;312.80
LOAN_004128;4;;2025-09-04;18730;9620;8523.12;0;381.23;A;11390;6474.98;0;410.99
LOAN_004128;5;;2025-10-03;18950;10620;6783.35;0;361.14;A;11270;7305.20;0;299.88
LOAN_004128;6;;2025-11-04;20800;13050;6227.71;0;278.32;A;12310;6406.85;0;336.56
LOAN_004128;7;;2025-12-04;15800;10750;5787.13;0;299.35;A;12470;5669.45;0;255.33
LOAN_004128;8;;2026-01-02;20400;12500;4238.70;0;247.74;A;14640;4387.40;0;240.32
LOAN_004128;9;;2026-02-04;20540;12230;3948.49;0;185.12;A;14870;4233.49;0;181.17
LOAN_000745;1;20250521;2025-05-17;22150;15510;3918.53;0;225.01;K;0;0;0;0
LOAN_000745;2;20250617;2025-06-17;21500;17180;4148.54;0;194.91;K;0;0;0;0
LOAN_000745;3;;2025-07-18;18870;16710;3438.16;0;177.19;A;14490;3545.27;0;213.40
LOAN_000745;4;;2025-08-15;18240;18100;3191.37;0;167.92;A;18040;2679.35;0;165.18
LOAN_000745;5;;2025-09-15;19780;17120;3069.59;0;131.09;A;18010;2889.60;0;138.27
LOAN_000745;6;;2025-10-15;19400;18160;2391.63;0;107.19;A;16360;2346.09;0;104.78
LOAN_000745;7;;2025-11-15;21240;20070;1801.34;0;94.60;A;18180;1711.91;0;88.30
LOAN_000745;8;;2025-12-15;19150;19490;952.46;0;62.31;A;20960;1159.79;0;48.71
LOAN_000745;9;;2026-01-15;20550;19340;628.17;0;28.18;A;16790;636.86;0;27.20
LOAN_003338;1;20250516;2025-05-16;17820;13050;6167.83;0;256.76;K;0;0;0;0
LOAN_003338;10;;2026-02-13;19630;16390;1605.57;0;88.94;A;20220;1817.59;0;86.15
LOAN_003338;11;;2026-03-16;22170;20350;950.52;0;52.58;A;21430;975.99;0;50.64
LOAN_003338;12;;2026-04-16;17580;22170;606.36;0;27.95;A;19040;523.97;0;28.34
LOAN_003338;2;20250616;2025-06-16;18600;12390;5191.16;0;307.31;K;0;0;0;0
LOAN_003338;3;;2025-07-17;19260;14840;4939.23;0;234.75;A;13990;5229.77;0;218.91
LOAN_003338;4;;2025-08-14;22470;17370;3998.85;0;232.55;A;16520;4181.18;0;220.49
LOAN_003338;5;;2025-09-12;20480;14340;3476.80;0;170.50;A;14840;3453.88;0;166.17
LOAN_003338;6;;2025-10-14;22030;18140;3913.78;0;209.27;A;15750;3997.57;0;173.40
LOAN_003338;7;;2025-11-14;18350;14520;2743.72;0;148.82;A;15690;2985.79;0;133.92
LOAN_003338;8;;2025-12-12;20610;17610;2585.73;0;113.52;A;18740;2217.14;0;133.48
LOAN_003338;9;;2026-01-14;17590;16870;2388.25;0;110.28;A;15750;2530.83;0;111.26
LOAN_003838;1;20250519;2025-05-14;5080;3760;2310.59;0;105.31;K;0;0;0;0
LOAN_003838;10;;2026-02-12;5800;5290;683.35;0;35.03;A;5200;641.00;0;29.55
LOAN_003838;11;;2026-03-14;6460;5050;485.96;0;20.94;A;5430;428.42;0;21.21
LOAN_003838;12;;2026-04-14;6490;5900;197.81;0;12.18;A;4990;247.91;0;10.46
LOAN_003838;2;20250614;2025-06-14;6480;3630;1929.30;0;86.13;K;0;0;0;0
LOAN_003838;3;;2025-07-15;5060;3420;1678.96;0;87.90;A;3670;1975.53;0;99.05
LOAN_003838;4;;2025-08-12;5390;4420;1433.59;0;79.11;A;3720;1466.81;0;70.37
LOAN_003838;5;;2025-09-12;6050;4550;1483.08;0;75.76;A;3470;1625.30;0;71.06
LOAN_003838;6;;2025-10-12;5320;3730;1274.66;0;70.66;A;4300;1509.27;0;70.77
LOAN_003838;7;;2025-11-12;5740;4690;1387.88;0;54.36;A;4240;1178.38;0;64.64
LOAN_003838;8;;2025-12-12;5340;4910;901.56;0;54.03;A;5140;1012.69;0;46.94
LOAN_003838;9;;2026-01-12;4920;4360;959.30;0;47.32;A;4510;740.73;0;44.39
LOAN_001816;1;20250528;2025-05-30;8990;3790;3195.44;522.31;144.33;K;0;0;0;0
LOAN_001816;10;;2026-02-28;8950;8330;471.11;66.04;24.85;A;7920;490.81;63.22;24.83
LOAN_001816;2;20250620;2025-06-30;8630;4940;3541.15;479.31;164.38;K;0;0;0;0
LOAN_001816;3;;2025-07-28;8940;5900;2862.25;428.18;131.97;A;5270;2684.22;369.52;147.84
LOAN_001816;4;;2025-08-28;8380;4520;2336.32;358.15;113.50;A;5560;2652.06;438.96;130.65
LOAN_001816;5;;2025-09-26;7190;6260;2135.92;298.85;114.83;A;5950;2178.10;333.27;116.50
LOAN_001816;6;;2025-10-28;9600;5410;2007.32;277.21;118.24;A;5570;2087.86;277.74;116.32
LOAN_001816;7;;2025-11-27;9620;6200;1579.45;239.34;81.48;A;5590;1557.06;274.77;85.37
LOAN_001816;8;;2025-12-26;8660;6910;1371.08;200.76;57.43;A;6860;1183.64;154.70;65.62
LOAN_001816;9;;2026-01-28;8630;7480;901.21;127.96;52.25;A;6480;888.78;151.45;40.42
LOAN_001640;1;20250515;2025-05-15;20310;14730;5282.82;890.64;259.69;K;0;0;0;0
LOAN_001640;10;;2026-02-13;19810;19210;1564.31;235.11;70.87;A;20870;1514.62;276.57;72.27
LOAN_001640;11;;2026-03-13;21830;19930;986.47;156.94;53.69;A;16910;957.67;143.54;53.73
LOAN_001640;12;;2026-04-15;22510;19480;643.76;87.14;32.66;A;21220;644.45;80.05;27.27
LOAN_001640;2;20250610;2025-06-13;21570;15730;5688.98;727.43;226.27;K;0;0;0;0
LOAN_001640;3;;2025-07-16;21210;15170;5823.44;878.84;268.03;A;13210;5585.70;726.01;228.12
LOAN_001640;4;;2025-08-13;18660;14840;4399.47;615.07;191.84;A;16790;3621.01;587.35;233.78
LOAN_001640;5;;2025-09-12;22810;17850;4368.54;596.50;175.49;A;15300;3776.21;599.42;177.76
LOAN_001640;6;;2025-10-10;20460;17350;2987.27;455.62;171.20;A;14120;3302.62;536.97;180.21
LOAN_001640;7;;2025-11-13;22010;18180;3530.94;476.64;164.96;A;14080;3582.77;532.98;194.82
LOAN_001640;8;;2025-12-12;20310;17860;2535.99;341.51;140.10;A;17840;2547.39;334.50;120.22
LOAN_001640;9;;2026-01-13;21120;16930;2060.86;296.48;96.67;A;16270;2390.42;371.16;102.61
LOAN_000472;1;20250610;2025-06-13;21040;13000;12270.64;0;610.20;K;0;0;0;0
LOAN_000472;10;;2026-03-13;23220;22960;3655.23;0;183.60;A;23280;3318.75;0;182.58
LOAN_000472;11;;2026-04-13;24550;18620;2483.14;0;120.52;A;21060;2763.48;0;120.85
LOAN_000472;12;;2026-05-14;21440;19630;1271.96;0;75.00;A;22100;1212.90;0;62.11
LOAN_000472;2;;2025-07-14;21050;12700;12945.39;0;539.58;A;12340;10631.83;0;544.43
LOAN_000472;3;;2025-08-11;20950;13160;10744.96;0;559.69;A;12060;10655.37;0;477.23
LOAN_000472;4;;2025-09-11;25840;13590;9157.52;0;526.60;A;14890;9182.63;0;433.87
LOAN_000472;5;;2025-10-10;27070;13170;8221.12;0;493.47;A;14300;9180.58;0;452.07
LOAN_000472;6;;2025-11-11;25210;15550;8284.80;0;450.19;A;17530;7647.05;0;444.80
LOAN_000472;7;;2025-12-11;26580;18510;7845.87;0;366.39;A;16370;6889.81;0;401.37
LOAN_000472;8;;2026-01-09;21360;18690;6747.00;0;254.05;A;19290;5008.39;0;301.83
LOAN_000472;9;;2026-02-11;21490;16620;4767.22;0;307.17;A;19770;5745.77;0;288.52
LOAN_001035;1;20250522;2025-05-14;12150;10940;3133.30;0;163.59;K;0;0;0;0
LOAN_001035;2;20250614;2025-06-14;13010;8570;2371.48;0;146.68;K;0;0;0;0
LOAN_001035;3;;2025-07-15;13380;9750;2445.98;0;120.53;A;10720;2529.49;0;115.43
LOAN_001035;4;;2025-08-12;11580;10570;1867.83;0;111.00;A;10770;1769.10;0;105.28
LOAN_001035;5;;2025-09-12;11060;9970;1872.97;0;84.03;A;12420;1804.44;0;88.35
LOAN_001035;6;;2025-10-12;11170;11410;1233.33;0;68.49;A;11730;1425.14;0;72.54
LOAN_001035;7;;2025-11-12;13830;10900;1039.25;0;55.56;A;12970;989.15;0;64.71
LOAN_001035;8;;2025-12-12;12000;13490;679.70;0;38.79;A;12150;638.86;0;41.57
LOAN_001035;9;;2026-01-12;14880;11960;344.93;0;18.63;A;13770;412.22;0;20.85
LOAN_003276;1;20250523;2025-05-23;27270;23970;5827.07;772.95;302.68;K;0;0;0;0
LOAN_003276;2;20250623;2025-06-23;28600;25080;5662.01;899.27;282.43;K;0;0;0;0
LOAN_003276;3;;2025-07-24;28100;22290;4883.67;656.33;247.81;A;21760;3836.63;705.93;209.49
LOAN_003276;4;;2025-08-21;26000;22290;3115.21;426.46;135.59;A;28120;2930.53;510.58;129.05
LOAN_003276;5;;2025-09-21;29920;28650;2186.76;351.86;121.85;A;24730;2117.35;364.77;129.32
LOAN_003276;6;;2025-10-21;29990;29910;1219.70;188.09;51.88;A;31610;1242.49;155.62;54.33
LOAN_002615;1;20250520;2025-05-20;1380;1320;0;0;0;K;0;0;0;0
LOAN_002615;10;;2026-02-18;1270;1660;0;0;0;A;1280;0;0;0
LOAN_002615;11;;2026-03-20;1470;1560;0;0;0;A;1710;0;0;0
LOAN_002615;12;;2026-04-20;1570;1630;0;0;0;A;1290;0;0;0
LOAN_002615;2;20250620;2025-06-20;1490;1300;0;0;0;K;0;0;0;0
LOAN_002615;3;;2025-07-21;1460;1500;0;0;0;A;1370;0;0;0
LOAN_002615;4;;2025-08-18;1280;1490;0;0;0;A;1310;0;0;0
LOAN_002615;5;;2025-09-18;1690;1500;0;0;0;A;1620;0;0;0
LOAN_002615;6;;2025-10-18;1300;1600;0;0;0;A;1710;0;0;0
LOAN_002615;7;;2025-11-18;1400;1380;0;0;0;A;1680;0;0;0
LOAN_002615;8;;2025-12-18;1420;1400;0;0;0;A;1300;0;0;0
LOAN_002615;9;;2026-01-18;1670;1350;0;0;0;A;1650;0;0;0
LOAN_000129;1;20250610;2025-06-10;20800;11620;7424.94;0;390.77;K;0;0;0;0
LOAN_000129;10;;2026-03-10;23250;21610;2396.39;0;112.73;A;17960;2271.47;0;118.96
LOAN_000129;11;;2026-04-10;22350;19200;1280.23;0;76.47;A;18160;1449.75;0;77.69
LOAN_000129;12;;2026-05-10;18360;17500;686.23;0;39.55;A;18680;622.43;0;32.96
LOAN_000129;2;;2025-07-11;20800;14330;7294.69;0;342.49;A;15020;7130.41;0;303.31
LOAN_000129;3;;2025-08-08;18620;17120;5548.08;0;315.50;A;14380;6125.02;0;325.15
LOAN_000129;4;;2025-09-08;23240;15550;5569.10;0;313.28;A;13770;6512.91;0;254.66
LOAN_000129;5;;2025-10-08;21160;14160;4568.52;0;259.89;A;13600;5805.61;0;258.70
LOAN_000129;6;;2025-11-08;22160;16750;4489.55;0;210.41;A;16990;4793.12;0;269.80
LOAN_000129;7;;2025-12-08;19370;16540;3403.83;0;197.75;A;17080;3735.91;0;173.68
LOAN_000129;8;;2026-01-08;21350;15810;3700.65;0;155.86;A;15180;3199.60;0;176.04
LOAN_000129;9;;2026-02-08;21940;18310;2431.90;0;131.00;A;18860;2444.36;0;138.91
LOAN_002891;1;20250528;2025-06-06;14600;11190;4797.81;0;288.10;K;0;0;0;0
LOAN_002891;10;;2026-03-06;17190;12940;1578.03;0;95.14;A;13700;1480.78;0;89.16
LOAN_002891;11;;2026-04-06;14610;15090;1328.95;0;58.99;A;15480;1180.46;0;62.22
LOAN_002891;12;;2026-05-08;17210;16830;660.87;0;35.31;A;17400;649.37;0;33.69
LOAN_002891;2;;2025-07-07;15470;11430;6046.59;0;268.33;A;9970;4806.79;0;284.32
LOAN_002891;3;;2025-08-04;17370;11780;4433.49;0;248.88;A;11210;4900.18;0;257.22
LOAN_002891;4;;2025-09-04;18580;12210;4758.21;0;205.48;A;11020;4194.29;0;205.88
LOAN_002891;5;;2025-10-03;16810;14540;3482.78;0;226.42;A;14500;4296.26;0;219.81
LOAN_002891;6;;2025-11-04;19300;10990;4194.64;0;192.30;A;12050;3700.12;0;195.70
LOAN_002891;7;;2025-12-04;16200;13210;3478.19;0;139.78;A;11530;3032.45;0;137.08
LOAN_002891;8;;2026-01-02;14940;13810;2564.96;0;115.76;A;14810;2244.88;0;114.55
LOAN_002891;9;;2026-02-04;17330;12790;2365.20;0;106.34;A;12150;2065.89;0;116.16
LOAN_001082;1;20250506;2025-05-14;27680;19830;9783.86;0;502.62;K;0;0;0;0
LOAN_001082;2;20250605;2025-06-13;25940;17510;10616.80;0;545.29;K;0;0;0;0
LOAN_001082;3;;2025-07-15;31280;19570;8248.38;0;441.35;A;19880;10079.70;0;450.80
LOAN_001082;4;;2025-08-12;26010;23500;7505.69;0;402.09;A;19320;7638.61;0;325.27
LOAN_001082;5;;2025-09-12;29900;19140;6366.46;0;308.89;A;23340;6041.06;0;333.05
LOAN_001082;6;;2025-10-10;31820;24140;5396.52;0;283.31;A;21500;4673.83;0;234.23
LOAN_001082;7;;2025-11-12;29770;23420;5093.00;0;261.68;A;23220;4134.12;0;237.06
LOAN_001082;8;;2025-12-12;27060;22300;2947.36;0;165.60;A;24380;2725.75;0;125.52
LOAN_001082;9;;2026-01-12;27630;29140;1552.48;0;71.78;A;28800;1670.26;0;68.00
LOAN_000448;1;20250605;2025-06-06;21900;13880;6752.61;0;377.23;K;0;0;0;0
LOAN_000448;10;;2026-03-06;20130;20920;1910.81;0;104.21;A;20470;2125.37;0;116.13
LOAN_000448;11;;2026-04-06;17950;18240;1258.85;0;63.80;A;19130;1289.12;0;84.65
LOAN_000448;12;;2026-05-07;22530;19970;716.52;0;34.05;A;22810;686.93;0;35.78
LOAN_000448;2;;2025-07-07;20420;13090;6816.26;0;377.90;A;14230;5885.12;0;395.83
LOAN_000448;3;;2025-08-04;22000;14670;5331.68;0;252.24;A;14900;5608.64;0;308.97
LOAN_000448;4;;2025-09-04;22440;16400;5754.01;0;316.85;A;13890;6361.60;0;331.57
LOAN_000448;5;;2025-10-03;21720;13830;4489.63;0;261.64;A;14620;5591.75;0;246.56
LOAN_000448;6;;2025-11-04;23700;14120;5485.47;0;235.53;A;14330;4927.15;0;229.09
LOAN_000448;7;;2025-12-04;22620;16010;3799.32;0;227.07;A;19020;3922.29;0;207.57
LOAN_000448;8;;2026-01-02;20600;19650;2812.50;0;147.40;A;15630;3127.95;0;165.13
LOAN_000448;9;;2026-02-04;23120;16810;2823.43;0;147.64;A;19300;3317.51;0;132.77
LOAN_003027;1;20250608;2025-06-09;9810;5220;5171.40;0;238.85;K;0;0;0;0
LOAN_003027;10;;2026-03-09;8960;9470;1522.04;0;80.02;A;9830;1599.87;0;78.76
LOAN_003027;11;;2026-04-09;9050;8640;983.87;0;51.91;A;9580;1041.50;0;42.59
LOAN_003027;12;;2026-05-09;9980;9990;433.99;0;23.02;A;10940;532.66;0;21.76
LOAN_003027;2;;2025-07-10;9780;4980;4707.96;0;214.32;A;6660;4667.71;0;204.17
LOAN_003027;3;;2025-08-07;9240;6270;3712.35;0;170.72;A;6280;4174.02;0;192.25
LOAN_003027;4;;2025-09-05;9070;6590;3781.68;0;155.60;A;7050;3057.81;0;150.20
LOAN_003027;5;;2025-10-07;11700;7590;3732.42;0;161.52;A;5740;3496.70;0;157.87
LOAN_003027;6;;2025-11-07;9150;6990;3094.80;0;141.74;A;6230;2749.64;0;168.75
LOAN_003027;7;;2025-12-05;9060;7860;2266.30;0;129.30;A;8450;2184.85;0;132.82
LOAN_003027;8;;2026-01-07;10970;7420;2090.86;0;104.23;A;8240;2397.69;0;138.27
